ric,data_load,capitalization,current_price,ticker
ALORY.PK,2026-03-24,3.867913,14.74,ALORY.PK
ALPMY.PK,2026-03-24,28.390567,15.21,ALPMY.PK
ALRM.O,2026-03-24,2.234977,45.0,ALRM.O
ALSMY.PK,2026-03-24,12.808328,2.74,ALSMY.PK
ALSN.K,2026-03-24,9.494489,114.66,ALSN.K
ALSN.N,2026-03-24,9.494489,114.66,ALSN.N
ALSSF.PK,2026-03-24,2.563021,3.3,ALSSF.PK
ALSYY.PK,2026-03-24,6.935877,0.0,ALSYY.PK
ALTB.PK,2026-03-24,5.37894,5.4,ALTB.PK
ALV.N,2026-03-24,7.812581,104.36,ALV.N
ALVO.O,2026-03-24,1.038026,3.33,ALVO.O
ALX.N,2026-03-24,1.239795,242.75,ALX.N
AM.N,2026-03-24,10.86194,22.96,AM.N
AMADY.PK,2026-03-24,25.816529,57.94,AMADY.PK
AMAL.O,2026-03-24,1.138587,38.17,AMAL.O
AMAT.O,2026-03-24,287.120114,361.79,AMAT.O
AMBA.O,2026-03-24,2.34948,54.58,AMBA.O
AMBBY.PK,2026-03-24,2.461789,10.65,AMBBY.PK
AMBP.K,2026-03-24,2.450568,4.1,AMBP.K
AMBP.N,2026-03-24,2.450568,4.1,AMBP.N
AMBUY.PK,2026-03-24,10.432524,0.0,AMBUY.PK
AMCR.K,2026-03-24,18.186118,39.36,AMCR.K
AMCR.N,2026-03-24,18.186118,39.36,AMCR.N
AMD.O,2026-03-24,330.45167,202.68,AMD.O
AMDLY.PK,2026-03-24,4.657559,47.15,AMDLY.PK
AME.N,2026-03-24,48.747414,212.81,AME.N
AMFPY.PK,2026-03-24,2.200237,36.67,AMFPY.PK
AMG.N,2026-03-24,7.345772,275.28,AMG.N
AMGN.O,2026-03-24,188.549701,349.77,AMGN.O
AMH.N,2026-03-24,10.018399,27.54,AMH.N
AMH_pg.N,2026-03-24,10.018399,22.51,AMH_pg.N
AMH_ph.N,2026-03-24,10.018399,23.66,AMH_ph.N
AMIGY.PK,2026-03-24,12.674169,42.35,AMIGY.PK
AMKAF.PK,2026-03-24,40.758056,2555.95,AMKAF.PK
AMKBY.PK,2026-03-24,40.758056,13.37,AMKBY.PK
AMKR.O,2026-03-24,11.405894,46.12,AMKR.O
AMLTF.PK,2026-03-24,2.226676,0.86,AMLTF.PK
AMLX.O,2026-03-24,1.495565,13.53,AMLX.O
AMP.N,2026-03-24,40.167361,442.91,AMP.N
AMPH.O,2026-03-24,0.872468,19.23,AMPH.O
AMPL.O,2026-03-24,0.964169,7.21,AMPL.O
