ric,current_price,capitalization
BACRP.PK,199.77,422.247144
BAESF.PK,24.84,74.440838
BAESY.PK,99.03,74.440838
BAH.N,64.8,7.771726
BAK.N,2.71,0.969716
BALL.K,61.3,16.320911
BALL.N,61.3,16.320911
BAM.N,46.63,76.387239
BANC.K,20.49,3.262401
BANC.N,20.49,3.262401
BANF.O,114.9,3.859076
BANR.O,68.57,2.329182
BAP.N,389.22,30.891063
BASFY.PK,13.81,49.760563
BATRA.O,57.45,3.438907
BATRB.PK,70.0,3.438907
BATRK.O,52.56,3.438907
BAWAY.PK,48.95,15.423025
BAX.N,22.57,11.656706
BAYRY.PK,14.16,55.972575
BB.N,10.71,6.282162
BBAAY.PK,0.0,269.310256
BBAI.K,3.09,1.479954
BBAI.N,3.09,1.479954
BBAR.K,19.98,4.305864
BBAR.N,19.98,4.305864
BBD.N,3.61,36.38173
BBDO.K,3.15,36.38173
BBDO.N,3.15,36.38173
BBIO.O,83.08,16.272152
BBMPY.PK,1.52,1.837684
BBN.N,15.96,0.986209
BBSEY.PK,7.88,15.306542
BBT.N,30.19,2.530408
BBU.N,31.46,4.399007
BBUC.K,29.59,6.100296
BBVA.K,25.39,142.220164
BBVA.N,25.39,142.220164
BBWI.K,20.42,4.115892
BBWI.N,20.42,4.115892
BBY.N,81.65,17.209136
BC.N,76.95,4.999783
BCAT.K,15.97,1.683458
BCAT.N,15.97,1.683458
BCC.N,74.72,2.629377
BCCLF.PK,0.82,2.982568
BCCMY.PK,1.14,0.797699
BCE.N,21.45,20.03023
BCH.N,39.85,20.229222
BCHEY.PK,17.0,1.387335
BCHMY.PK,9.15,6.85167
BCKIY.PK,13.41,6.638324
BCLGY.PK,0.0,1.021275
BCLYF.PK,6.78,92.339347
BCMXY.PK,20.6,84.213145
BCNAY.PK,6.45,0.83136
BCO.N,107.42,4.423666
BCOMF.PK,4.3,0.97651
BCPC.O,161.44,5.187041
BCRX.O,9.91,2.518752
BCS.N,27.29,92.339347
BCUCY.PK,9.51,6.382543
BDC.N,102.26,3.982418
BDJ.N,9.65,1.707516
BDMXY.PK,0.0,4.888312
BDNNY.PK,105.1,15.145961
BDORY.PK,4.0,22.703925
BDOUY.PK,20.91,10.667073
BDRAF.PK,230.13,22.962369
BDRBF.PK,228.71,22.962369
BDRFY.PK,17.96,21.716308
BDUUY.PK,23.4,9.272326
BDVSF.PK,13.15,4.923005
BDVSY.PK,28.77,4.923005
BDWBY.PK,3.3,10.628513
BDX.N,153.83,42.386384
BDYCY.PK,0.0,1.504401
BE.N,233.49,66.414799
BEAM.O,31.0,3.189256
BECTY.PK,7.35,4.466565
BEJRY.PK,0.0,6.938495
BEKAY.PK,4.66,2.314073
BEKE.K,16.07,18.452562
BEKE.N,16.07,18.452562
BELFA.O,221.01,3.6549
BELFB.O,263.26,3.6549
BEMPY.PK,0.0,2.78118
BEN.N,32.83,17.059688
BEP.N,31.86,9.752785
BEP_pa.N,17.46,9.752785
BEPC.K,34.18,6.233803
BEPC.N,34.18,6.233803
BEPTF.PK,0.62,1.387335
BESIY.PK,276.51,22.875454
BETA.K,17.46,4.029
BETA.N,17.46,4.029
Bfa.N,26.67,12.115949
BFAM.K,74.76,3.932875
BFAM.N,74.76,3.932875
BFb.N,26.25,12.115949
BFC.O,146.94,1.649086
BFFAF.PK,53.73,49.760563
BFH.N,97.18,3.926759
BFLBY.PK,18.13,3.564534
BFLY.K,8.1,2.119291
BFLY.N,8.1,2.119291
BFS.N,36.29,0.890402
BG.N,117.4,22.777727
BGAOY.PK,1.38,2.388039
BGC.O,10.98,5.260042
BGCHY.PK,15.0,1.24663
BGDVX.O,15.11,1.708247
BGEEX.O,19.02,2.988559
BGSI.K,96.74,2.675665
BH.N,390.14,1.235556
BHa.N,2002.31,1.235556
BHC.N,4.85,1.815525
BHE.N,81.77,2.933665
BHF.O,66.61,3.826464
BHFAM.O,10.56,3.826464
BHFAN.O,12.02,3.826464
BHFAO.O,15.01,3.826464
BHFAP.O,14.64,3.826464
BHKLY.PK,118.06,62.630736
BHP.N,81.37,205.024062
BHPLF.PK,40.87,205.024062
BHTGY.PK,0.0,1.982846
BHVN.K,15.17,2.28401
BHVN.N,15.17,2.28401
BICEY.PK,34.52,2.821431
BIDU.O,113.39,38.585785
BIDVX.O,15.08,1.708247
BIEEX.O,19.0,2.988559
BIIB.O,209.03,30.860587
BILI.O,17.59,7.361516
BILL.K,42.86,4.268716
BILL.N,42.86,4.268716
BIO.N,297.58,8.023406
BIOb.N,309.37,8.023406
BIOGY.PK,11.0,1.19578
BIP.N,37.61,17.284578
BIP_pa.N,16.9,17.284578
BIP_pb.N,16.07,17.284578
BIPC.K,39.39,4.845628
